mood,focus,energy,overwhelm,anxiety,available_minutes,current_context,stage,stage_label,variant
3,2,5,3,2,67,desk,4,Urgency Dependency,high_energy
4,1,3,4,4,106,phone,2,Decision Paralysis,good_mood
2,5,1,1,2,80,desk,1,Initiation Failure,focus_ok
2,1,4,2,3,97,desk,2,Decision Paralysis,classic
3,1,4,1,1,83,outside,4,Urgency Dependency,procrastination
3,2,4,1,2,76,desk,4,Urgency Dependency,procrastination
2,1,4,3,2,60,phone,4,Urgency Dependency,procrastination
2,3,3,2,1,120,any,1,Initiation Failure,low_mood
1,3,2,4,5,47,desk,3,Overwhelm Freeze,anxiety_dom
1,1,1,3,5,88,phone,3,Overwhelm Freeze,some_energy
2,3,2,3,2,204,phone,4,Urgency Dependency,mild_scatter
1,3,2,5,5,51,phone,3,Overwhelm Freeze,some_energy
2,3,1,5,5,77,desk,3,Overwhelm Freeze,anxiety_dom
4,1,3,3,2,89,outside,4,Urgency Dependency,classic
2,4,1,2,1,85,phone,1,Initiation Failure,focus_ok
2,3,3,1,2,66,outside,4,Urgency Dependency,classic
3,3,1,5,4,73,outside,3,Overwhelm Freeze,overwhelm_dom
3,3,3,3,3,67,desk,4,Urgency Dependency,mild_scatter
1,1,1,3,4,82,phone,3,Overwhelm Freeze,anxiety_dom
2,2,1,5,5,41,phone,3,Overwhelm Freeze,overwhelm_dom
1,4,2,3,2,50,outside,1,Initiation Failure,mild_anxiety
3,1,2,3,2,137,phone,4,Urgency Dependency,classic
3,2,5,2,2,210,phone,4,Urgency Dependency,procrastination
3,1,1,3,4,78,any,3,Overwhelm Freeze,mood_ok
1,3,2,5,5,85,phone,3,Overwhelm Freeze,overwhelm_dom
2,5,1,1,3,77,outside,1,Initiation Failure,focus_ok
5,3,4,1,2,79,phone,4,Urgency Dependency,high_energy
4,1,3,3,2,89,any,4,Urgency Dependency,procrastination
2,3,3,4,2,115,outside,1,Initiation Failure,moderate_all
3,2,3,3,4,86,any,2,Decision Paralysis,good_mood
2,4,1,3,3,52,phone,1,Initiation Failure,classic
4,3,1,4,5,82,any,3,Overwhelm Freeze,mood_ok
2,3,4,3,4,68,outside,2,Decision Paralysis,anxious_spin
3,3,2,1,3,88,outside,4,Urgency Dependency,mild_scatter
2,2,2,5,4,69,outside,3,Overwhelm Freeze,classic
3,2,5,3,2,213,phone,4,Urgency Dependency,high_energy
4,1,4,3,4,40,any,2,Decision Paralysis,classic
2,2,1,3,4,38,phone,1,Initiation Failure,mild_anxiety
1,4,2,3,2,46,desk,1,Initiation Failure,low_mood
3,1,3,4,3,104,desk,2,Decision Paralysis,high_energy
1,2,3,1,1,96,any,1,Initiation Failure,classic
1,3,1,4,5,35,phone,3,Overwhelm Freeze,classic
2,4,3,3,3,47,phone,1,Initiation Failure,classic
1,3,1,3,5,84,desk,3,Overwhelm Freeze,anxiety_dom
2,1,4,4,3,80,phone,2,Decision Paralysis,anxious_spin
1,2,2,5,4,46,outside,3,Overwhelm Freeze,classic
1,1,1,5,4,64,outside,3,Overwhelm Freeze,anxiety_dom
3,3,4,1,1,75,desk,4,Urgency Dependency,classic
2,2,2,5,5,74,any,3,Overwhelm Freeze,some_energy
2,4,2,3,3,42,phone,1,Initiation Failure,moderate_all
3,4,2,3,2,95,phone,1,Initiation Failure,mild_anxiety
2,2,4,4,2,79,outside,2,Decision Paralysis,all_moderate
4,1,5,4,2,39,outside,2,Decision Paralysis,high_energy
5,2,3,1,1,171,any,4,Urgency Dependency,good_mood
2,3,1,5,3,61,desk,3,Overwhelm Freeze,overwhelm_dom
3,1,3,3,3,109,phone,2,Decision Paralysis,classic
2,1,4,3,2,168,phone,4,Urgency Dependency,procrastination
3,2,1,4,5,71,outside,3,Overwhelm Freeze,mood_ok
2,1,4,4,2,31,desk,2,Decision Paralysis,high_energy
4,1,5,3,1,173,outside,4,Urgency Dependency,procrastination
2,4,1,2,2,118,outside,1,Initiation Failure,moderate_all
4,1,3,3,4,73,phone,2,Decision Paralysis,high_energy
3,4,3,2,3,45,any,1,Initiation Failure,mild_anxiety
2,1,3,4,4,87,phone,2,Decision Paralysis,classic
4,1,4,3,2,77,any,2,Decision Paralysis,all_moderate
1,3,1,2,2,39,desk,1,Initiation Failure,focus_ok
3,3,1,3,3,20,any,3,Overwhelm Freeze,mood_ok
2,3,2,2,2,108,phone,1,Initiation Failure,focus_ok
4,1,2,2,4,69,phone,2,Decision Paralysis,good_mood
5,1,4,4,2,109,desk,2,Decision Paralysis,good_mood
3,3,2,3,4,26,desk,3,Overwhelm Freeze,some_energy
5,2,2,2,3,83,desk,2,Decision Paralysis,good_mood
4,1,2,1,1,106,outside,4,Urgency Dependency,classic
2,2,3,1,2,104,any,4,Urgency Dependency,mild_scatter
1,4,3,2,1,67,outside,1,Initiation Failure,low_mood
3,3,1,4,2,95,desk,1,Initiation Failure,moderate_all
4,1,4,4,2,97,desk,2,Decision Paralysis,high_energy
4,1,2,4,3,32,phone,2,Decision Paralysis,good_mood
2,2,2,1,2,62,desk,1,Initiation Failure,classic
2,2,2,3,2,81,phone,2,Decision Paralysis,all_moderate
4,1,2,2,3,79,outside,2,Decision Paralysis,all_moderate
3,1,3,1,2,107,desk,4,Urgency Dependency,good_mood
2,4,2,2,2,38,any,1,Initiation Failure,low_mood
2,2,3,1,1,88,desk,4,Urgency Dependency,classic
3,5,3,1,3,86,phone,1,Initiation Failure,focus_ok
3,3,1,2,1,38,outside,1,Initiation Failure,classic
2,3,1,5,5,44,any,3,Overwhelm Freeze,mood_ok
4,2,4,4,4,63,outside,2,Decision Paralysis,all_moderate
3,2,2,2,2,63,desk,2,Decision Paralysis,good_mood
1,2,1,5,4,71,outside,3,Overwhelm Freeze,classic
3,4,1,2,1,91,desk,1,Initiation Failure,classic
3,1,3,1,1,77,outside,4,Urgency Dependency,good_mood
2,2,1,4,5,60,any,3,Overwhelm Freeze,mood_ok
3,1,2,5,4,78,any,3,Overwhelm Freeze,mood_ok
1,2,2,5,5,72,outside,3,Overwhelm Freeze,anxiety_dom
4,2,3,3,3,55,desk,2,Decision Paralysis,all_moderate
4,2,3,4,4,112,desk,2,Decision Paralysis,good_mood
3,1,3,3,4,84,phone,2,Decision Paralysis,high_energy
2,3,3,1,3,117,desk,1,Initiation Failure,focus_ok
4,2,2,4,3,91,desk,2,Decision Paralysis,all_moderate
1,1,2,5,5,21,desk,3,Overwhelm Freeze,anxiety_dom
3,3,3,3,4,84,outside,2,Decision Paralysis,all_moderate
2,3,1,3,5,17,phone,3,Overwhelm Freeze,some_energy
2,1,3,4,3,45,phone,2,Decision Paralysis,anxious_spin
1,3,2,5,3,86,any,3,Overwhelm Freeze,overwhelm_dom
1,4,2,1,3,58,desk,1,Initiation Failure,focus_ok
4,1,4,3,1,174,phone,4,Urgency Dependency,procrastination
3,4,1,1,2,91,phone,1,Initiation Failure,focus_ok
4,2,3,3,2,114,any,4,Urgency Dependency,classic
3,4,2,4,2,97,desk,1,Initiation Failure,moderate_all
1,3,2,2,3,116,desk,1,Initiation Failure,low_mood
2,2,1,3,5,65,phone,3,Overwhelm Freeze,anxiety_dom
2,1,3,2,1,61,desk,4,Urgency Dependency,procrastination
3,3,1,3,5,63,outside,3,Overwhelm Freeze,mood_ok
3,4,2,4,1,99,desk,1,Initiation Failure,moderate_all
3,2,1,5,5,45,outside,3,Overwhelm Freeze,overwhelm_dom
2,4,2,2,3,107,any,1,Initiation Failure,focus_ok
4,1,2,3,3,89,outside,2,Decision Paralysis,classic
2,1,1,4,3,66,outside,3,Overwhelm Freeze,overwhelm_dom
3,4,2,3,2,32,any,1,Initiation Failure,mild_anxiety
3,1,4,1,1,96,any,4,Urgency Dependency,good_mood
2,1,2,4,4,20,outside,3,Overwhelm Freeze,overwhelm_dom
5,2,5,2,1,168,outside,4,Urgency Dependency,high_energy
2,2,3,1,3,55,outside,1,Initiation Failure,low_mood
4,1,3,3,1,73,outside,4,Urgency Dependency,high_energy
1,3,3,1,3,44,any,1,Initiation Failure,classic
2,3,2,2,4,59,outside,2,Decision Paralysis,anxious_spin
3,3,2,2,2,233,desk,4,Urgency Dependency,classic
4,3,1,3,4,87,phone,3,Overwhelm Freeze,mood_ok
2,2,2,5,5,47,any,3,Overwhelm Freeze,classic
1,3,1,2,3,89,outside,1,Initiation Failure,classic
1,1,2,4,3,73,outside,3,Overwhelm Freeze,overwhelm_dom
3,1,4,2,2,65,outside,2,Decision Paralysis,high_energy
4,2,2,3,1,175,any,4,Urgency Dependency,mild_scatter
1,2,3,3,2,85,any,1,Initiation Failure,classic
3,4,2,2,2,51,phone,1,Initiation Failure,mild_anxiety
2,2,3,3,2,79,any,1,Initiation Failure,low_mood
2,1,1,5,5,35,phone,3,Overwhelm Freeze,anxiety_dom
3,1,4,2,4,103,any,2,Decision Paralysis,classic
2,2,4,2,2,88,any,2,Decision Paralysis,classic
4,1,3,3,2,98,phone,4,Urgency Dependency,mild_scatter
1,3,1,3,4,35,phone,3,Overwhelm Freeze,some_energy
4,2,2,2,4,81,desk,2,Decision Paralysis,classic
1,3,1,2,2,92,any,1,Initiation Failure,low_mood
4,1,3,2,3,79,outside,2,Decision Paralysis,high_energy
2,2,1,4,3,65,any,3,Overwhelm Freeze,mood_ok
1,1,3,5,4,69,any,3,Overwhelm Freeze,some_energy
1,3,1,4,5,45,desk,3,Overwhelm Freeze,classic
3,2,1,5,5,44,phone,3,Overwhelm Freeze,mood_ok
3,2,4,3,3,89,outside,2,Decision Paralysis,anxious_spin
2,3,3,3,2,175,phone,4,Urgency Dependency,classic
1,4,2,1,2,43,outside,1,Initiation Failure,mild_anxiety
5,2,4,3,4,116,desk,2,Decision Paralysis,good_mood
2,2,1,5,3,23,desk,3,Overwhelm Freeze,overwhelm_dom
2,1,4,3,2,85,desk,4,Urgency Dependency,procrastination
2,2,1,1,3,42,phone,1,Initiation Failure,low_mood
3,3,1,3,1,48,any,1,Initiation Failure,moderate_all
1,2,3,2,3,55,any,1,Initiation Failure,classic
4,2,4,4,3,76,outside,2,Decision Paralysis,anxious_spin
3,1,5,4,4,82,any,2,Decision Paralysis,high_energy
5,2,4,2,1,119,phone,4,Urgency Dependency,good_mood
4,1,5,1,1,161,desk,4,Urgency Dependency,procrastination
4,1,4,3,1,175,any,4,Urgency Dependency,high_energy
1,3,1,4,4,75,desk,3,Overwhelm Freeze,anxiety_dom
3,1,2,3,4,86,any,2,Decision Paralysis,all_moderate
3,1,4,3,1,84,outside,4,Urgency Dependency,classic
1,2,2,5,5,44,desk,3,Overwhelm Freeze,classic
2,4,3,2,2,32,any,1,Initiation Failure,focus_ok
1,1,2,5,4,68,phone,3,Overwhelm Freeze,classic
2,1,3,3,4,85,outside,2,Decision Paralysis,high_energy
4,1,3,3,3,64,desk,2,Decision Paralysis,high_energy
3,4,1,2,1,32,desk,1,Initiation Failure,focus_ok
3,2,3,1,1,175,any,4,Urgency Dependency,mild_scatter
4,1,2,2,2,78,desk,2,Decision Paralysis,classic
4,3,3,2,2,102,desk,4,Urgency Dependency,classic
2,2,3,1,2,65,any,1,Initiation Failure,classic
4,3,2,3,4,33,any,3,Overwhelm Freeze,mood_ok
1,2,2,2,4,72,any,1,Initiation Failure,mild_anxiety
2,2,2,2,3,68,outside,1,Initiation Failure,moderate_all
3,1,5,3,1,219,desk,4,Urgency Dependency,high_energy
4,1,5,4,3,63,any,2,Decision Paralysis,high_energy
4,3,3,2,2,224,phone,4,Urgency Dependency,classic
1,4,3,2,1,48,any,1,Initiation Failure,focus_ok
4,1,2,2,3,50,outside,2,Decision Paralysis,classic
4,3,4,1,3,141,desk,4,Urgency Dependency,mild_scatter
3,3,5,2,1,236,desk,4,Urgency Dependency,high_energy
1,1,2,5,3,26,desk,3,Overwhelm Freeze,overwhelm_dom
1,3,3,3,5,72,desk,3,Overwhelm Freeze,some_energy
3,2,3,1,1,47,phone,1,Initiation Failure,classic
5,2,3,1,1,91,phone,4,Urgency Dependency,high_energy
2,1,3,1,1,82,desk,4,Urgency Dependency,classic
3,1,4,2,1,237,any,4,Urgency Dependency,classic
3,3,2,4,3,41,outside,1,Initiation Failure,moderate_all
3,3,2,2,3,41,phone,2,Decision Paralysis,anxious_spin
3,5,3,1,1,84,desk,1,Initiation Failure,focus_ok
2,2,1,1,2,116,phone,1,Initiation Failure,mild_anxiety
2,3,1,4,4,37,any,3,Overwhelm Freeze,overwhelm_dom
1,4,3,3,1,52,desk,1,Initiation Failure,classic
4,1,5,2,2,102,outside,4,Urgency Dependency,procrastination
4,1,4,1,2,154,phone,4,Urgency Dependency,high_energy
2,1,1,4,5,33,phone,3,Overwhelm Freeze,anxiety_dom
4,1,3,2,2,186,desk,4,Urgency Dependency,mild_scatter
3,1,1,4,4,60,outside,3,Overwhelm Freeze,some_energy
1,4,2,1,1,106,outside,1,Initiation Failure,low_mood
2,2,3,1,1,116,outside,4,Urgency Dependency,procrastination
3,3,2,5,4,71,outside,3,Overwhelm Freeze,overwhelm_dom
2,4,1,2,3,33,phone,1,Initiation Failure,mild_anxiety
2,1,2,4,4,62,outside,2,Decision Paralysis,anxious_spin
2,2,1,4,5,52,desk,3,Overwhelm Freeze,overwhelm_dom
1,2,1,3,5,82,desk,3,Overwhelm Freeze,anxiety_dom
4,2,3,3,2,64,outside,4,Urgency Dependency,high_energy
4,1,5,1,2,165,any,4,Urgency Dependency,procrastination
4,2,3,3,1,80,desk,4,Urgency Dependency,classic
5,2,4,1,1,240,desk,4,Urgency Dependency,high_energy
5,2,2,1,1,240,outside,4,Urgency Dependency,good_mood
3,3,2,3,4,50,phone,2,Decision Paralysis,all_moderate
4,1,5,3,2,177,phone,4,Urgency Dependency,procrastination
1,4,1,4,3,89,desk,1,Initiation Failure,moderate_all
3,1,4,4,4,83,desk,2,Decision Paralysis,good_mood
4,2,2,3,3,74,desk,3,Overwhelm Freeze,mood_ok
1,2,2,5,4,61,phone,3,Overwhelm Freeze,classic
1,3,1,3,3,120,any,1,Initiation Failure,moderate_all
2,3,2,2,3,50,outside,1,Initiation Failure,moderate_all
4,1,3,3,3,100,desk,2,Decision Paralysis,all_moderate
4,2,3,3,3,171,outside,4,Urgency Dependency,mild_scatter
3,2,4,2,3,50,outside,2,Decision Paralysis,anxious_spin
1,2,1,5,4,61,outside,3,Overwhelm Freeze,anxiety_dom
2,1,3,3,1,75,outside,4,Urgency Dependency,procrastination
3,1,4,3,3,75,desk,2,Decision Paralysis,good_mood
4,2,4,3,3,47,any,2,Decision Paralysis,all_moderate
3,1,4,2,1,156,phone,4,Urgency Dependency,classic
1,5,3,2,2,73,phone,1,Initiation Failure,focus_ok
1,3,1,5,5,53,phone,3,Overwhelm Freeze,classic
3,3,4,4,4,36,desk,2,Decision Paralysis,all_moderate
3,1,1,5,5,90,phone,3,Overwhelm Freeze,mood_ok
4,3,2,2,4,31,any,2,Decision Paralysis,anxious_spin
2,2,3,3,2,92,phone,4,Urgency Dependency,mild_scatter
3,3,2,4,2,78,phone,2,Decision Paralysis,all_moderate
4,1,3,2,2,206,phone,4,Urgency Dependency,good_mood
1,5,2,1,1,50,phone,1,Initiation Failure,focus_ok
3,1,5,2,2,190,outside,4,Urgency Dependency,procrastination
4,1,4,2,4,73,any,2,Decision Paralysis,anxious_spin
3,2,4,3,1,96,any,4,Urgency Dependency,procrastination
3,1,1,5,5,80,outside,3,Overwhelm Freeze,mood_ok
2,2,3,3,2,76,any,2,Decision Paralysis,classic
3,2,2,4,2,59,phone,1,Initiation Failure,moderate_all
2,2,1,4,3,65,desk,3,Overwhelm Freeze,mood_ok
4,1,3,4,3,88,phone,2,Decision Paralysis,high_energy
5,1,5,1,1,82,outside,4,Urgency Dependency,high_energy
5,2,4,2,1,135,any,4,Urgency Dependency,high_energy
3,2,3,3,2,66,phone,2,Decision Paralysis,all_moderate
2,3,2,4,4,44,outside,3,Overwhelm Freeze,classic
3,2,4,2,1,107,desk,4,Urgency Dependency,procrastination
1,1,1,4,4,15,any,3,Overwhelm Freeze,anxiety_dom
4,2,1,4,5,61,any,3,Overwhelm Freeze,mood_ok
4,1,4,3,2,57,phone,2,Decision Paralysis,all_moderate
1,2,1,1,4,98,any,1,Initiation Failure,mild_anxiety
2,1,2,4,4,62,desk,3,Overwhelm Freeze,anxiety_dom
2,3,4,1,2,206,phone,4,Urgency Dependency,mild_scatter
3,1,1,4,5,80,outside,3,Overwhelm Freeze,overwhelm_dom
3,2,3,3,1,160,phone,4,Urgency Dependency,classic
5,3,3,2,1,74,desk,4,Urgency Dependency,high_energy
3,1,2,2,3,118,desk,2,Decision Paralysis,anxious_spin
4,1,4,3,1,230,phone,4,Urgency Dependency,high_energy
4,3,4,3,2,225,phone,4,Urgency Dependency,classic
3,1,2,3,3,83,outside,2,Decision Paralysis,good_mood
3,2,2,3,4,31,any,2,Decision Paralysis,classic
4,1,3,4,4,87,desk,2,Decision Paralysis,high_energy
2,3,2,5,5,70,any,3,Overwhelm Freeze,classic
2,1,1,5,5,60,desk,3,Overwhelm Freeze,anxiety_dom
3,2,2,2,3,67,desk,2,Decision Paralysis,classic
3,1,2,5,4,21,desk,3,Overwhelm Freeze,some_energy
3,3,4,3,5,75,phone,2,Decision Paralysis,anxious_spin
3,2,1,4,4,15,phone,3,Overwhelm Freeze,mood_ok
3,1,3,4,4,68,outside,2,Decision Paralysis,all_moderate
3,3,3,2,2,116,phone,4,Urgency Dependency,classic
2,1,4,3,4,115,outside,2,Decision Paralysis,classic
4,2,4,2,1,72,outside,4,Urgency Dependency,high_energy
4,3,4,2,1,127,phone,4,Urgency Dependency,classic
1,3,1,1,3,108,desk,1,Initiation Failure,focus_ok
4,1,3,3,1,200,desk,4,Urgency Dependency,high_energy
4,1,4,3,2,87,desk,4,Urgency Dependency,classic
3,2,3,5,5,32,outside,3,Overwhelm Freeze,some_energy
2,3,1,1,2,89,phone,1,Initiation Failure,focus_ok
2,2,3,4,2,73,phone,2,Decision Paralysis,classic
3,2,4,2,2,196,phone,4,Urgency Dependency,classic
2,1,2,5,4,29,outside,3,Overwhelm Freeze,anxiety_dom
1,5,1,2,3,86,any,1,Initiation Failure,focus_ok
1,2,1,2,3,79,any,1,Initiation Failure,classic
2,2,2,1,1,84,desk,4,Urgency Dependency,classic
2,2,3,5,5,58,desk,3,Overwhelm Freeze,some_energy
5,2,2,4,3,37,phone,2,Decision Paralysis,good_mood
3,1,1,5,5,54,any,3,Overwhelm Freeze,overwhelm_dom
1,2,1,3,1,74,any,1,Initiation Failure,low_mood
2,3,1,3,5,75,outside,3,Overwhelm Freeze,some_energy
3,1,4,1,1,105,any,4,Urgency Dependency,procrastination
4,1,4,4,3,72,desk,2,Decision Paralysis,high_energy
2,1,3,2,2,104,any,4,Urgency Dependency,mild_scatter
1,2,1,1,4,98,any,1,Initiation Failure,mild_anxiety
4,3,1,4,4,83,outside,3,Overwhelm Freeze,mood_ok
3,1,3,2,1,101,any,4,Urgency Dependency,good_mood
3,4,2,2,3,59,phone,1,Initiation Failure,mild_anxiety
2,1,4,2,3,74,outside,2,Decision Paralysis,classic
4,3,4,3,3,134,any,4,Urgency Dependency,mild_scatter
2,3,2,1,2,60,desk,1,Initiation Failure,focus_ok
5,1,3,3,2,111,any,2,Decision Paralysis,good_mood
3,1,2,4,2,44,desk,2,Decision Paralysis,good_mood
3,3,2,5,5,19,phone,3,Overwhelm Freeze,some_energy
1,3,1,5,5,82,any,3,Overwhelm Freeze,overwhelm_dom
3,2,1,4,2,38,any,1,Initiation Failure,moderate_all
1,2,1,3,2,112,any,1,Initiation Failure,moderate_all
2,1,4,4,3,92,any,2,Decision Paralysis,classic
3,1,3,1,2,158,any,4,Urgency Dependency,classic
2,2,1,3,3,40,any,1,Initiation Failure,low_mood
2,4,3,1,1,92,any,1,Initiation Failure,focus_ok
1,4,1,1,1,120,outside,1,Initiation Failure,focus_ok
3,3,3,1,1,77,desk,4,Urgency Dependency,classic
4,3,4,4,4,72,phone,2,Decision Paralysis,anxious_spin
2,1,3,3,1,128,outside,4,Urgency Dependency,procrastination
4,3,3,1,1,140,phone,4,Urgency Dependency,classic
2,2,1,5,5,25,outside,3,Overwhelm Freeze,anxiety_dom
5,2,3,2,3,117,outside,2,Decision Paralysis,good_mood
5,1,3,1,1,94,phone,4,Urgency Dependency,good_mood
3,2,2,3,5,44,any,3,Overwhelm Freeze,mood_ok
1,2,1,4,4,27,desk,3,Overwhelm Freeze,classic
4,2,2,2,1,102,desk,4,Urgency Dependency,classic
4,2,3,2,2,89,any,4,Urgency Dependency,classic
2,4,1,3,3,44,outside,1,Initiation Failure,mild_anxiety
3,3,3,2,1,91,desk,1,Initiation Failure,classic
3,3,1,1,3,113,outside,1,Initiation Failure,classic
4,2,4,1,1,119,any,4,Urgency Dependency,procrastination
3,3,3,2,2,84,any,4,Urgency Dependency,classic
1,2,1,4,4,20,phone,3,Overwhelm Freeze,overwhelm_dom
2,2,3,3,1,120,desk,4,Urgency Dependency,procrastination
2,2,3,4,3,114,desk,2,Decision Paralysis,classic
2,3,2,5,5,32,outside,3,Overwhelm Freeze,some_energy
3,2,3,2,3,102,phone,2,Decision Paralysis,good_mood
1,4,2,2,1,71,desk,1,Initiation Failure,moderate_all
4,1,3,3,1,123,phone,4,Urgency Dependency,classic
3,4,1,4,1,47,outside,1,Initiation Failure,moderate_all
3,3,2,1,4,30,any,1,Initiation Failure,mild_anxiety
2,2,2,5,4,86,desk,3,Overwhelm Freeze,some_energy
4,1,2,4,3,66,phone,2,Decision Paralysis,good_mood
1,2,2,5,5,62,any,3,Overwhelm Freeze,some_energy
4,1,4,3,2,192,outside,4,Urgency Dependency,high_energy
3,1,5,1,1,70,any,4,Urgency Dependency,procrastination
4,3,3,3,3,104,desk,4,Urgency Dependency,mild_scatter
2,1,2,1,2,78,desk,4,Urgency Dependency,classic
4,2,2,3,4,71,outside,2,Decision Paralysis,all_moderate
4,2,3,2,3,63,desk,2,Decision Paralysis,classic
4,1,3,2,4,45,phone,2,Decision Paralysis,good_mood
4,1,2,2,1,61,any,4,Urgency Dependency,classic
1,2,1,4,5,16,outside,3,Overwhelm Freeze,anxiety_dom
2,2,1,5,5,48,phone,3,Overwhelm Freeze,anxiety_dom
1,3,3,1,3,51,outside,1,Initiation Failure,classic
4,2,2,2,1,201,phone,4,Urgency Dependency,good_mood
3,2,1,2,1,53,any,1,Initiation Failure,classic
1,3,1,3,4,67,outside,3,Overwhelm Freeze,anxiety_dom
2,3,3,3,2,49,desk,1,Initiation Failure,moderate_all
2,2,2,4,4,94,desk,2,Decision Paralysis,anxious_spin
2,1,4,3,3,72,outside,2,Decision Paralysis,classic
2,3,1,3,4,71,phone,3,Overwhelm Freeze,anxiety_dom
